Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,HomeStreak,Orig. Scheduled,HomeGame,Index,year
3,202304020,boxscore,KCR,MIN,L,4,7,,0-3,4, 3.0,Ryan,Keller,,2:35,D,"14,589",.93,---,,True,38,2023
4,202304020,boxscore,HOU,CHW,L,3,6,,2-2,3, 1.5,Clevinger,Garcia,,3:06,D,"42,835",1.00,-,,True,39,2023
3,202304020,boxscore,CIN,PIT,W,3,1,,2-1,1, Tied,Ashcraft,Velasquez,Díaz,2:24,D,"14,421",.98,++,,True,40,2023
3,202304020,boxscore,TEX,PHI,W,2,1,,3-0,1,up 1.0,Pérez,Falter,Smith,2:24,N,"25,823",.93,+++,,True,41,2023
3,202304020,boxscore,BOS,BAL,W,9,5,,2-1,2, 1.0,Houck,Irvin,,2:44,D,"27,886",.97,++,,True,42,2023
3,202304020,boxscore,CHC,MIL,L,5,9,,1-2,4, 1.0,Lauer,Taillon,,2:57,D,"33,266",.99,--,,True,43,2023
4,202304020,boxscore,LAD,ARI,L,1,2,,2-2,1, Tied,Chafin,Graterol,McGough,2:32,D,"46,549",1.05,-,,True,44,2023
3,202304020,boxscore,TBR,DET,W,5,1,,3-0,1,up 1.0,Springs,Wentz,,2:10,D,"19,425",1.03,+++,,True,45,2023
3,202304020,boxscore,WSN,ATL,W,4,1,,1-2,3, 1.5,Gore,Shuster,Finnegan,2:17,D,"21,440",.89,+,,True,46,2023
4,202304020,boxscore,MIA,NYM,L,1,5,,1-3,4, 2.0,Senga,Rogers,,2:40,D,"18,322",.99,--,,True,47,2023
4,202304020,boxscore,SEA,CLE,L,5,6,10,1-3,5, 2.5,De Los Santos,Murfee,Stephan,2:57,D,"34,045",.88,---,,True,48,2023
4,202304020,boxscore,SDP,COL,W,3,1,,2-2,1, Tied,Lugo,Gomber,Hader,2:03,D,"43,972",.97,++,,True,49,2023
4,202304030,boxscore,MIL,NYM,W,10,0,,3-1,1, Tied,Peralta,Carrasco,Wilson,2:37,D,"42,017",.99,+++,,True,50,2023
5,202304030,boxscore,SDP,ARI,W-wo,5,4,,3-2,1, Tied,Hill,McGough,,2:29,N,"37,602",1.00,+++,,True,51,2023
5,202304030,boxscore,CHW,SFG,L,3,12,,2-3,3, 2.5,DeSclafani,Kopech,,2:36,D,"34,784",.93,-,,True,52,2023
4,202304030,boxscore,NYY,PHI,W,8,1,,3-1,2, 1.0,Cortes,Walker,,2:41,N,"37,202",.91,++,,True,53,2023
4,202304030,boxscore,CIN,CHC,W,7,6,,3-1,1, Tied,Cruz,Smyly,Law,2:35,N,"11,941",1.04,+++,,True,54,2023
4,202304030,boxscore,BOS,PIT,L,6,7,,2-2,3, 2.0,Underwood,Crawford,Bednar,2:57,N,"28,369",.92,-,,True,55,2023
4,202304030,boxscore,OAK,CLE,L,11,12,10,1-3,4, 2.0,Clase,May,Morgan,3:19,N,"3,035",.88,---,,True,56,2023
4,202304030,boxscore,KCR,TOR,W,9,5,,1-3,4, 3.0,Singer,Berríos,,2:37,N,"10,810",.79,+,,True,57,2023
4,202304030,boxscore,STL,ATL,L,4,8,,2-2,3, 1.0,Morton,Woodford,,2:46,N,"37,689",.97,-,,True,58,2023
4,202304030,boxscore,TEX,BAL,L,0,2,,3-1,1, Tied,Coulombe,Gray,Bautista,2:18,N,"15,867",1.09,-,,True,59,2023
5,202304030,boxscore,SEA,LAA,L,3,7,,1-4,5, 2.5,Tepera,Kirby,,2:49,N,"18,877",.90,----,,True,60,2023
5,202304030,boxscore,LAD,COL,W,13,4,,3-2,1, Tied,Almonte,Feltner,,2:47,N,"49,792",1.00,+,,True,61,2023
5,202304030,boxscore,HOU,DET,L,6,7,11,2-3,3, 1.5,Wingenter,Neris,Hill,3:21,N,"29,272",.93,--,,True,62,2023
4,202304030,boxscore,WSN,TBR,L,2,6,,1-3,3, 2.0,Rasmussen,Williams,,2:25,N,"10,754",.85,-,,True,63,2023
5,202304030,boxscore,MIA,MIN,L,1,11,,1-4,4, 2.5,Mahle,Cueto,,2:31,N,"8,898",.82,---,,True,64,2023
5,202304040,boxscore,BOS,PIT,L,1,4,,2-3,4, 3.0,Contreras,Pivetta,Bednar,2:36,N,"28,842",.84,--,,True,65,2023
6,202304040,boxscore,MIA,MIN,W,1,0,,2-4,3, 2.5,Alcantara,Maeda,,1:57,N,"10,668",.75,+,,True,66,2023
5,202304040,boxscore,MIL,NYM,W,9,0,,4-1,1,up 1.0,Miley,Scherzer,,2:17,N,"19,412",1.05,++++,,True,67,2023
5,202304040,boxscore,CIN,CHC,L,5,12,,3-2,2, 1.0,Alzolay,Farmer,,2:52,N,"13,399",1.04,-,,True,68,2023
5,202304040,boxscore,NYY,PHI,L,1,4,,3-2,2, 2.0,Bellatti,Germán,,2:45,N,"35,392",.92,-,,True,69,2023
5,202304040,boxscore,TEX,BAL,L,2,7,,3-2,1, Tied,Gibson,Heaney,,2:30,N,"16,268",1.01,--,,True,70,2023
5,202304040,boxscore,KCR,TOR,L,1,4,,1-4,5, 3.0,Kikuchi,Bubic,Romano,2:32,N,"12,123",.80,-,,True,71,2023
6,202304040,boxscore,LAD,COL,W,5,2,,4-2,1,up 1.0,Urías,Márquez,Phillips,2:25,N,"52,290",1.05,++,,True,72,2023
6,202304040,boxscore,HOU,DET,L,3,6,,2-4,4, 1.5,Manning,Valdez,,2:32,N,"30,613",.87,---,,True,73,2023
6,202304040,boxscore,SEA,LAA,W,11,2,,2-4,4, 1.5,Castillo,Suarez,,2:31,N,"19,255",.81,+,,True,74,2023
6,202304040,boxscore,SDP,ARI,L,6,8,,3-3,2, 1.0,Ginkel,García,Jameson,2:55,D,"34,542",1.02,-,,True,75,2023
5,202304040,boxscore,STL,ATL,L,1,4,,2-3,4, 2.0,Dodd,Matz,Minter,2:20,N,"36,501",.98,--,,True,76,2023
5,202304040,boxscore,OAK,CLE,W-wo,4,3,,2-3,3, 1.0,May,Karinchak,,2:41,N,"3,407",.83,+,,True,77,2023
5,202304040,boxscore,WSN,TBR,L,6,10,,1-4,4, 3.0,Thompson,Finnegan,,2:45,N,"15,272",.82,--,,True,78,2023
6,202304050,boxscore,CHW,SFG,W,7,3,,3-3,3, 1.5,Cease,Webb,,2:49,D,"15,980",.89,+,,True,79,2023
6,202304050,boxscore,OAK,CLE,L,4,6,10,2-4,4, 2.0,Morgan,Jackson,Clase,2:58,D,"4,930",.90,-,,True,80,2023
6,202304050,boxscore,NYY,PHI,W,4,2,,4-2,2, 2.0,Cole,Nola,Holmes,2:30,D,"35,847",.89,+,,True,81,2023
6,202304050,boxscore,BOS,PIT,L,1,4,,2-4,5, 4.0,Keller,Kluber,Underwood,2:32,D,"24,477",.83,---,,True,82,2023
6,202304050,boxscore,STL,ATL,L,2,5,,2-4,5, 3.0,Elder,Mikolas,Chavez,2:27,D,"36,300",.90,---,,True,83,2023
6,202304050,boxscore,MIL,NYM,W-wo,7,6,,5-1,1,up 1.0,Williams,Ottavino,,2:45,D,"18,387",1.10,+++++,,True,84,2023
6,202304050,boxscore,KCR,TOR,L,0,3,,1-5,5, 3.5,Manoah,Greinke,Romano,2:17,N,"10,015",.77,--,,True,85,2023
7,202304050,boxscore,MIA,MIN,W,5,2,,3-4,2, 2.5,Floro,Jax,,2:10,D,"8,981",.78,++,,True,86,2023
6,202304050,boxscore,WSN,TBR,L,2,7,,1-5,4, 4.0,McClanahan,Corbin,,2:32,D,"13,836",.80,---,,True,87,2023
7,202304050,boxscore,HOU,DET,W,8,2,,3-4,3, 1.5,Javier,Rodriguez,,2:35,D,"37,932",.84,+,,True,88,2023
6,202304050,boxscore,TEX,BAL,W,5,2,,4-2,1, Tied,deGrom,Voth,Leclerc,2:19,D,"18,560",.99,+,,True,89,2023
7,202304050,boxscore,SEA,LAA,L,3,4,,2-5,5, 2.5,Ohtani,Flexen,Quijada,2:55,D,"25,648",.89,-,,True,90,2023
7,202304060,boxscore,DET,BOS,L,3,6,,2-5,4, 3.0,Sale,Turnbull,Jansen,2:32,D,"44,650",.87,--,,True,91,2023
7,202304060,boxscore,ATL,SDP,W-wo,7,6,,6-1,1,up 3.0,Minter,Crismatt,,3:14,N,"42,803",1.13,++++,,True,92,2023
7,202304060,boxscore,KCR,TOR,L,3,6,,1-6,5, 4.0,Gausman,Lyles,Cimber,2:30,D,"10,401",.74,---,,True,93,2023
7,202304060,boxscore,COL,WSN,W,1,0,,3-4,3, 2.0,Freeland,Gray,Johnson,2:18,D,"48,230",.86,+,,True,94,2023
7,202304060,boxscore,CHW,SFG,L,6,16,,3-4,3, 2.0,Junis,Lynn,,2:50,D,"18,261",.88,-,,True,95,2023
7,202304060,boxscore,ARI,LAD,L,2,5,,3-4,3, 2.0,May,Kelly,Phillips,2:43,N,"48,034",1.06,-,,True,96,2023
7,202304070,boxscore,PHI,CIN,W,5,2,,2-5,4, 3.5,Soto,Law,Kimbrel,2:43,D,"44,365",.82,+,,True,97,2023
8,202304070,boxscore,COL,WSN,L,5,10,,3-5,5, 2.0,Gore,Ureña,,2:38,N,"30,869",.92,-,,True,98,2023
6,202304070,boxscore,CHC,TEX,W,2,0,,3-3,3, 2.5,Stroman,Eovaldi,Fulmer,2:17,D,"29,094",.87,++,,True,99,2023
7,202304070,boxscore,MIL,STL,W,4,0,,6-1,1,up 1.0,Woodruff,Flaherty,,2:45,N,"28,459",1.16,++++++,,True,100,2023
8,202304070,boxscore,ARI,LAD,W,6,3,,4-4,2, 1.0,Jameson,Kershaw,,2:28,N,"30,249",.98,+,,True,101,2023
7,202304070,boxscore,MIN,HOU,W-wo,3,2,10,5-2,1,up 0.5,López,Stanek,,2:47,D,"38,465",1.07,+,,True,102,2023
7,202304070,boxscore,SFG,KCR,L,1,3,,3-4,4, 1.5,Keller,Cobb,Barlow,2:23,D,"40,711",.94,-,,True,103,2023
7,202304070,boxscore,TBR,OAK,W,9,5,,7-0,1,up 2.5,Eflin,Waldichuk,,2:23,N,"15,980",1.15,+++++++,,True,104,2023
7,202304070,boxscore,PIT,CHW,W,13,9,,5-2,2, 1.0,Moreta,Diekman,Crowe,2:48,D,"39,167",1.01,++++,,True,105,2023
8,202304070,boxscore,NYM,MIA,W,9,3,,4-4,2, 2.0,Megill,Cabrera,,3:01,D,"43,590",1.01,+,,True,106,2023
8,202304070,boxscore,ATL,SDP,L,4,5,,6-2,1,up 2.0,Honeywell,Tonkin,Hader,3:01,N,"41,963",1.17,-,,True,107,2023
7,202304070,boxscore,LAA,TOR,L,3,4,,4-3,1, Tied,Bassitt,Herget,Romano,2:33,N,"44,735",1.04,-,,True,108,2023
7,202304070,boxscore,BAL,NYY,W,7,6,,4-3,3, 3.0,Pérez,Marinaccio,Bautista,3:04,D,"45,017",.99,+,,True,109,2023
8,202304070,boxscore,CLE,SEA,L,3,5,,5-3,2, 0.5,Murfee,Civale,Sewald,2:34,D,"34,821",1.08,-,,True,110,2023
9,202304080,boxscore,ARI,LAD,W,12,8,,5-4,1, Tied,Nelson,Syndergaard,,2:43,N,"26,881",1.03,++,,True,111,2023
8,202304080,boxscore,PHI,CIN,W-wo,3,2,,3-5,3, 2.5,Vasquez,Díaz,,2:47,D,"44,526",.83,++,,True,112,2023
8,202304080,boxscore,MIL,STL,L,0,6,,6-2,1,up 1.0,Montgomery,Lauer,,2:32,N,"43,077",1.16,-,,True,113,2023
8,202304080,boxscore,BAL,NYY,L,1,4,,4-4,4, 4.0,Brito,Irvin,Holmes,2:47,N,"30,561",1.05,-,,True,114,2023
7,202304080,boxscore,CHC,TEX,W,10,3,,4-3,3, 1.5,Steele,Pérez,,2:55,D,"33,578",.93,+++,,True,115,2023
8,202304080,boxscore,LAA,TOR,W,9,5,,5-3,1,up 1.0,Barria,Berríos,,2:40,N,"44,534",1.03,+,,True,116,2023
8,202304080,boxscore,SFG,KCR,L,5,6,,3-5,4, 1.5,Clarke,Doval,Chapman,2:23,D,"35,126",.87,--,,True,117,2023
8,202304080,boxscore,DET,BOS,L,5,14,,2-6,5, 4.0,Houck,Wentz,,2:38,D,"21,835",.82,---,,True,118,2023
9,202304080,boxscore,CLE,SEA,L,2,3,,5-4,2, 1.5,Gonzales,Quantrill,Sewald,2:35,N,"17,489",1.07,--,,True,119,2023
9,202304080,boxscore,NYM,MIA,W,5,2,,5-4,2, 1.0,Senga,Rogers,Robertson,2:39,D,"42,306",1.02,++,,True,120,2023
8,202304080,boxscore,TBR,OAK,W,11,0,,8-0,1,up 3.0,Springs,Fujinami,,2:20,D,"15,880",1.13,++++++++,,True,121,2023
9,202304080,boxscore,COL,WSN,L,6,7,,3-6,5, 2.0,Williams,Gomber,Edwards,2:44,N,"34,503",.88,--,,True,122,2023
8,202304080,boxscore,MIN,HOU,W,9,6,,6-2,1,up 1.5,Ryan,Martinez,Duran,2:27,D,"26,330",1.09,++,,True,123,2023
9,202304080,boxscore,ATL,SDP,L,1,4,,6-3,1,up 1.0,Wacha,Morton,Hader,2:55,N,"40,154",1.14,--,,True,124,2023
8,202304080,boxscore,PIT,CHW,L,5,11,,5-3,2, 1.0,Clevinger,Velasquez,,3:04,N,"21,162",1.01,-,,True,125,2023
10,202304090,boxscore,ATL,SDP,L,2,10,,6-4,1,up 1.0,Lugo,Dodd,,2:50,N,"40,138",1.11,---,,True,126,2023
10,202304090,boxscore,COL,WSN,W,7,6,,4-6,5, 2.0,Lamet,Ramírez,Johnson,2:47,D,"30,283",.83,+,,True,127,2023
9,202304090,boxscore,LAA,TOR,L,11,12,10,5-4,1, Tied,Romano,Estévez,Mayza,3:31,D,"31,092",1.06,-,,True,128,2023
9,202304090,boxscore,TBR,OAK,W,11,0,,9-0,1,up 3.0,Rasmussen,Kaprielian,,2:39,D,"11,159",1.14,+++++++++,,True,129,2023
9,202304090,boxscore,PIT,CHW,W,1,0,,6-3,2, 1.0,Oviedo,Kopech,Bednar,2:21,D,"10,571",1.00,+,,True,130,2023
10,202304090,boxscore,ARI,LAD,W,11,6,,6-4,1, Tied,Nelson,Grove,,2:45,D,"18,543",1.10,+++,,True,131,2023
9,202304090,boxscore,PHI,CIN,L,4,6,,3-6,4, 2.5,Herget,Domínguez,Gibaut,2:42,D,"39,129",.90,-,,True,132,2023
9,202304090,boxscore,MIN,HOU,L,1,5,,6-3,1,up 0.5,Brown,Mahle,,2:33,D,"14,316",1.13,-,,True,133,2023
10,202304090,boxscore,NYM,MIA,L,2,7,,5-5,2, 1.0,Scott,Carrasco,,2:52,D,"33,697",1.07,-,,True,134,2023
9,202304090,boxscore,BAL,NYY,L,3,5,,4-5,5, 5.0,Cortes,Wells,Holmes,2:28,D,"29,221",.96,--,,True,135,2023
9,202304090,boxscore,SFG,KCR,W,3,1,,4-5,4, 1.5,Brebbia,Yarbrough,Rogers,2:15,D,"30,207",.84,+,,True,136,2023
8,202304090,boxscore,CHC,TEX,L,2,8,,4-4,3, 2.5,Gray,Taillon,,2:31,D,"28,807",.99,-,,True,137,2023
10,202304090,boxscore,CLE,SEA,W-wo,7,6,12,6-4,2, 0.5,Herrin,Murfee,,3:48,D,"12,716",1.02,+,,True,138,2023
9,202304090,boxscore,DET,BOS,L,1,4,,2-7,5, 4.0,Crawford,Boyd,Jansen,2:38,D,"14,885",.79,----,,True,139,2023
9,202304090,boxscore,MIL,STL,W,6,1,,7-2,1,up 1.0,Peralta,Woodford,,2:49,D,"27,701",1.19,+,,True,140,2023
10,202304100,boxscore,BAL,OAK,W,5,1,,5-5,4, 5.0,Gibson,Sears,,2:48,N,"9,322",.84,+,,True,141,2023
10,202304100,boxscore,SFG,LAD,L,1,9,,4-6,5, 2.5,Urías,Webb,,2:31,N,"35,232",.99,-,,True,142,2023
10,202304100,boxscore,TEX,KCR,W,11,2,,6-4,1,up 1.0,Heaney,Greinke,,2:30,N,"17,430",.99,++,,True,143,2023
11,202304100,boxscore,ATL,CIN,W-wo,5,4,10,7-4,1,up 1.0,Lee,Law,,2:47,N,"30,237",1.07,+,,True,144,2023
10,202304100,boxscore,LAA,WSN,L,4,6,,5-5,2, 1.0,Corbin,Davidson,Finnegan,2:40,N,"19,557",.96,--,,True,145,2023
11,202304100,boxscore,NYM,SDP,W,5,0,,6-5,2, 1.0,Scherzer,Darvish,,2:38,N,"30,244",1.02,+,,True,146,2023
11,202304100,boxscore,ARI,MIL,W,3,0,,7-4,1,up 1.0,Gallen,Miley,Chafin,2:12,N,"12,681",1.07,++++,,True,147,2023
10,202304100,boxscore,PHI,MIA,W,15,3,,4-6,3, 2.5,Strahm,Alcantara,,2:29,N,"28,642",.90,+,,True,148,2023
10,202304100,boxscore,MIN,CHW,L,3,4,,6-4,2, 0.5,Cease,Maeda,López,2:39,D,"12,078",1.14,--,,True,149,2023
9,202304100,boxscore,CHC,SEA,W-wo,3,2,10,5-4,3, 1.5,Thompson,Brash,,2:38,N,"26,766",.89,+,,True,150,2023
10,202304100,boxscore,PIT,HOU,L,2,8,,6-4,2, 1.0,Valdez,Contreras,,2:39,N,"10,222",1.03,-,,True,151,2023
11,202304100,boxscore,COL,STL,W,7,4,,5-6,4, 2.0,Márquez,Matz,,2:14,N,"24,092",.87,++,,True,152,2023
11,202304100,boxscore,CLE,NYY,W,3,2,,7-4,1,up 0.5,Bieber,Hamilton,Clase,2:29,N,"19,278",1.07,++,,True,153,2023
10,202304100,boxscore,TBR,BOS,W,1,0,,10-0,1,up 4.0,Poche,Martin,Fairbanks,2:06,N,"13,470",1.22,++++++++++,,True,154,2023
11,202304110,boxscore,SFG,LAD,W,5,0,,5-6,4, 1.5,Alexander,May,,2:38,N,"30,768",.88,+,,True,155,2023
12,202304110,boxscore,CLE,NYY,L,2,11,,7-5,2, 0.5,Cole,Gaddis,,2:24,N,"20,164",1.12,-,,True,156,2023
11,202304110,boxscore,BAL,OAK,W,12,8,,6-5,4, 5.0,Baker,Moll,,3:08,N,"12,305",.89,++,,True,157,2023
12,202304110,boxscore,COL,STL,L,6,9,,5-7,5, 2.0,Gallegos,Johnson,Helsley,2:37,N,"25,399",.87,-,,True,158,2023
12,202304110,boxscore,ATL,CIN,W,7,6,,8-4,1,up 2.0,Tonkin,Cessa,Anderson,2:44,N,"33,559",1.12,++,,True,159,2023
11,202304110,boxscore,TOR,DET,W,9,3,,7-4,2, 4.0,Pop,Manning,,2:29,N,"42,053",1.00,++,,True,160,2023
10,202304110,boxscore,CHC,SEA,W,14,9,,6-4,3, 1.5,Rucker,Flexen,,3:02,N,"30,081",.96,++,,True,161,2023
11,202304110,boxscore,LAA,WSN,W,2,0,,6-5,2, 1.0,Ohtani,Gray,Estévez,2:26,N,"27,390",.94,+,,True,162,2023
11,202304110,boxscore,TBR,BOS,W,7,2,,11-0,1,up 4.0,McClanahan,Whitlock,,2:35,N,"12,649",1.28,+++++++++++,,True,163,2023
11,202304110,boxscore,PIT,HOU,W-wo,7,4,,7-4,2, 1.0,Bednar,Pressly,,2:30,N,"9,996",.98,+,,True,164,2023
11,202304110,boxscore,MIN,CHW,W-wo,4,3,10,7-4,1,up 0.5,Jax,Scholtens,,2:23,N,"16,153",1.15,+,,True,165,2023
11,202304110,boxscore,PHI,MIA,L,4,8,,4-7,4, 3.5,Luzardo,Nola,,2:57,N,"43,444",.91,-,,True,166,2023
11,202304110,boxscore,TEX,KCR,W-wo,8,5,10,7-4,1,up 1.0,Ragans,Barlow,,2:51,N,"17,760",1.05,+++,,True,167,2023
12,202304110,boxscore,ARI,MIL,L,1,7,,7-5,1, Tied,Burnes,Kelly,,2:19,N,"17,069",1.08,-,,True,168,2023
12,202304110,boxscore,NYM,SDP,L,2,4,,6-6,2, 2.0,Weathers,Peterson,Hader,2:51,N,"30,769",1.04,-,,True,169,2023
12,202304120,boxscore,MIN,CHW,W,3,1,,8-4,1,up 1.5,Gray,Giolito,Duran,2:37,D,"17,658",1.18,++,,True,170,2023
13,202304120,boxscore,NYM,SDP,W,5,2,,7-6,2, 2.0,Megill,Snell,Ottavino,2:51,D,"34,876",.97,+,,True,171,2023
13,202304120,boxscore,CLE,NYY,L,3,4,,7-6,2, 1.5,Peralta,Clase,Holmes,2:44,D,"23,164",1.09,--,,True,172,2023
12,202304120,boxscore,LAA,WSN,W,3,2,,7-5,1, Tied,Moore,Thompson,Quijada,2:22,D,"17,780",1.00,++,,True,173,2023
12,202304120,boxscore,TBR,BOS,W,9,7,,12-0,1,up 4.0,Bradley,Sale,Fairbanks,2:44,N,"17,136",1.20,++++++++++++,,True,174,2023
12,202304120,boxscore,SFG,LAD,L,5,10,,5-7,4, 2.5,Kershaw,Rogers,,3:10,N,"34,903",.97,-,,True,175,2023
13,202304120,boxscore,COL,STL,L,4,7,,5-8,5, 3.0,Pallante,Lawrence,Helsley,2:34,D,"22,250",.86,--,,True,176,2023
13,202304120,boxscore,ARI,MIL,W,7,3,,8-5,1,up 1.0,Nelson,Junk,,2:40,D,"13,136",1.05,+,,True,177,2023
12,202304120,boxscore,BAL,OAK,L,4,8,,6-6,4, 6.0,Smith,Akin,,2:50,N,"10,181",.90,-,,True,178,2023
12,202304120,boxscore,TOR,DET,W-wo,4,3,10,8-4,2, 4.0,Romano,Shreve,,2:40,N,"35,300",.99,+++,,True,179,2023
12,202304120,boxscore,PHI,MIA,L,2,3,10,4-8,4, 4.5,Puk,Soto,,2:40,D,"29,584",.87,--,,True,180,2023
13,202304120,boxscore,ATL,CIN,W,5,4,,9-4,1,up 2.0,Yates,Farmer,Minter,2:32,N,"30,648",1.12,+++,,True,181,2023
12,202304120,boxscore,TEX,KCR,L,1,10,,7-5,1, Tied,Keller,Eovaldi,,2:24,N,"18,380",1.07,-,,True,182,2023
11,202304120,boxscore,CHC,SEA,L,2,5,,6-5,3, 1.5,Gilbert,Stroman,,2:31,D,"26,944",.99,-,,True,183,2023
12,202304120,boxscore,PIT,HOU,L,0,7,,7-5,2, 1.0,Urquidy,Hill,,2:51,D,"10,064",.99,-,,True,184,2023
